instnm,lon,lat,expk,earmark
The University of Texas at Dallas,-96.74837100000001,32.989432,0,.731
The University of Texas at El Paso,-106.50356,31.771697,0,4.699
The University of Texas at San Antonio,-98.62138599999999,29.582418,0,14.598514
Tufts University,-71.121689,42.406994,415,1.166
Tulane University of Louisiana,-90.120409,29.939696,2325.945,2.6465
University at Buffalo,-78.790103,43.001433,7808.544,.4
University of Akron Main Campus,-81.510328,41.077768,410,5.590999999999999
University of Alabama at Birmingham,-86.80916999999999,33.50223,0,3.6
University of Alabama in Huntsville,-86.63842,34.722818,0,14.751
University of Alaska Fairbanks,-147.822943,64.856483,377,3.06209
University of Arizona,-110.950769,32.232071,888.3309999999999,11.023
University of Arkansas,-94.17821399999998,36.06153,1510,8.210000000000001
University of California-Berkeley,-122.260423,37.871969,2664,.958
University of California-Davis,-121.751958,38.539895,0,4.46
University of California-Irvine,-117.841248,33.648434,0,0
University of California-Los Angeles,-118.443901,34.068892,0,15.904
University of California-Merced,-120.424944,37.366237,0,.3
University of California-Riverside,-117.331098,33.97588,0,16
University of California-San Diego,-117.237793,32.876598,0,4.868
University of California-Santa Barbara,-119.846404,34.416281,0,0
University of California-Santa Cruz,-122.067993,36.997258,0,2.2465
University of Central Florida,-81.19880499999999,28.60106,510,2.392
University of Chicago,-87.601196,41.78917,1956.779,.9950000000000001
University of Cincinnati-Main Campus,-84.51428,39.131159,400,.8
University of Colorado Boulder,-105.267061,40.004415,3011.992,1.76275
University of Colorado Denver/Anschutz Medical Campus,-104.999181,39.74603,0,1.4275
University of Connecticut,-72.247969,41.806261,1310,4.266059
University of Dayton,-84.17366199999999,39.73686,525,9.899999999999999
University of Delaware,-75.752917,39.679574,360,10.987045
University of Denver,-104.964625,39.695954,0,0
University of Florida,-82.339958,29.649428,860,17.987
University of Georgia,-83.374049,33.956428,1887,5.722462
University of Hawaii at Manoa,-157.816607,21.292648,0,35.578
University of Houston,-95.34485100000001,29.719988,360,7.81875
University of Idaho,-117.024296,46.72689399999999,370,7.453255
University of Illinois at Chicago,-87.651145,41.872651,0,2.827
University of Illinois at Urbana-Champaign,-88.23030899999999,40.108864,540,3.398
University of Iowa,-91.53569799999998,41.660695,1670,15.926
University of Kansas,-95.247618,38.958551,1148.05,14.1975
University of Kentucky,-84.505653,38.035818,2185,36.95735000000001
University of Louisiana at Lafayette,-92.01940999999999,30.215283,835,0
University of Louisville,-85.758843,38.215752,486.25,45.762
University of Maine,-68.67358,44.895129,410,19.976423
University of Maryland-Baltimore County,-76.711607,39.256686,0,13.5685
University of Maryland-College Park,-76.939494,38.985379,768.5,21.2225
University of Massachusetts-Amherst,-72.52616999999999,42.386162,2280,7.561
University of Massachusetts-Boston,-71.038653,42.314541,0,1.384
University of Massachusetts-Dartmouth,-71.005528,41.628861,0,.667
University of Massachusetts-Lowell,-71.325081,42.65372,0,4.2
University of Memphis,-89.938062,35.118874,450,7.236000000000001
University of Miami,-80.27645,25.720406,4188.502,4.783999999999999
University of Michigan-Ann Arbor,-83.743121,42.276061,1945,8.494
University of Minnesota-Twin Cities,-93.23535199999999,44.97788599999999,1960,2.56
University of Mississippi,-89.539377,34.362144,420,68.46299999999999
University of Missouri-Columbia,-92.326429,38.941015,826,2.336
University of Missouri-Kansas City,-94.578039,39.035366,0,.982
University of Missouri-St Louis,-90.30888599999999,38.711297,0,.4991
University of Nebraska-Lincoln,-96.70217700000001,40.822272,1120,.065
University of Nevada-Las Vegas,-115.141153,36.106994,0,7.366350000000001
University of Nevada-Reno,-119.818424,39.545052,810,8.602
University of New Hampshire-Main Campus,-70.934512,43.134235,120,5.439
University of New Mexico-Main Campus,-106.620155,35.083868,890,9.715
University of New Orleans,-90.068506,30.028539,0,0
University of North Carolina at Chapel Hill,-79.05096899999999,35.912165,3687.5,9.228
University of North Carolina at Charlotte,-80.73578999999999,35.306834,0,2.092
University of North Carolina at Greensboro,-79.809844,36.067503,0,1.02
University of North Dakota,-97.07345100000002,47.919774,409,33.787653
University of North Texas,-97.151211,33.210958,505,6.688000000000001
University of Northern Colorado,-104.701721,40.403178,0,.858
University of Notre Dame,-86.23895899999998,41.703058,600,10.582
University of Oklahoma-Norman Campus,-97.44569199999999,35.208152,1010,5.228625
University of Oregon,-123.07398,44.044515,700,4.688709999999999
University of Pennsylvania,-75.193618,39.951002,1523.173,.257
University of Pittsburgh-Pittsburgh Campus,-79.95469199999999,40.444502,3420,6.09
University of Rhode Island,-71.527356,41.484691,70,9.853999999999999
University of Rochester,-77.63104199999999,43.126437,2190,.984
University of South Carolina-Columbia,-81.026971,33.998973,630,6.969999999999999
University of South Dakota,-96.92466400000001,42.784558,260,3.874000000000001
University of South Florida-Main Campus,-82.415876,28.056647,1000,28.782
University of Southern California,-118.283858,34.021058,4428,9.800000000000001
University of Southern Mississippi,-89.33791000000001,31.327499,630,40.535
University of Toledo,-83.615225,41.65795,410,17.635821
University of Tulsa,-95.94517500000001,36.151887,300,2.595
University of Utah,-111.846044,40.762484,1401,10.344
University of Vermont,-73.198128,44.479262,0,12.211333
University of Virginia-Main Campus,-78.50515300000001,38.037796,2150,.615
University of Washington-Seattle Campus,-122.313115,47.656213,2445,14.7935
University of Wisconsin-Madison,-89.405356,43.073858,1900,1.772
University of Wisconsin-Milwaukee,-87.880488,43.07684800000001,0,3.662
University of Wyoming,-105.57204,41.311943,660,1.987
Utah State University,-111.81391,41.740748,1390,6.411
Vanderbilt University,-86.804875,36.14443,500,1.199991
Virginia Commonwealth University,-77.453597,37.547631,0,0
Virginia Polytechnic Institute and State University,-80.42322900000001,37.228572,340,12.89058
Wake Forest University,-80.279004,36.135301,2770,4.633999999999999
Washington State University,-117.158168,46.730448,1063.622,11.002165
Washington University in St Louis,-90.311639,38.648125,760,0
Wayne State University,-83.072864,42.35861,710,3.678676
West Virginia University,-79.953926,39.63468,450,50.56821
Western Michigan University,-85.61512,42.282589,1080,0
Wichita State University,-97.296733,37.716484,0,23.188
Worcester Polytechnic Institute,-71.808792,42.275067,0,2.6
Yale University,-72.926688,41.311158,1870,1.2
Yeshiva University,-73.928541,40.8508,160,0
